"Date","health_board","CO_GABed_C19","CO_GABed_NonC19","CO_GABed_Spare","CO_GABed_Tot","CO_IVBed_C19","CO_IVBed_NonC19","CO_IVBed_Spare","CO_IVBed_Tot"
2020-04-01,"Betsi Cadwaladr University Health Board",93,656,499,1248,14,5,25,44
2020-04-01,"Hywel Dda University Health Board",68,312,445,825,5,9,32,46
2020-04-01,"Abertawe Bro Morgannwg University Health Board",100,515,423,1038,23,10,58,91
2020-04-01,"Cardiff and Vale University Health Board",158,510,683,1351,19,13,31,63
2020-04-01,"Cwm Taf University Health Board",111,486,353,950,16,7,34,57
2020-04-01,"Aneurin Bevan University Health Board",241,348,524,1113,23,4,2,29
2020-04-01,"Velindre University NHS Trust",11,1,18,30,0,0,0,0
2020-04-01,"Wales",782,2828,2945,6555,100,48,182,330
2020-04-02,"Betsi Cadwaladr University Health Board",68,610,572,1250,17,10,17,44
2020-04-02,"Hywel Dda University Health Board",70,313,449,832,4,6,36,46
2020-04-02,"Abertawe Bro Morgannwg University Health Board",119,536,366,1021,21,13,57,91
2020-04-02,"Cardiff and Vale University Health Board",160,565,620,1345,23,15,17,55
2020-04-02,"Cwm Taf University Health Board",122,492,352,966,18,7,32,57
2020-04-02,"Aneurin Bevan University Health Board",205,345,567,1117,27,0,15,42
2020-04-02,"Velindre University NHS Trust",11,0,19,30,0,0,0,0
2020-04-02,"Wales",755,2861,2945,6561,110,51,174,335
2020-04-03,"Betsi Cadwaladr University Health Board",83,596,569,1248,16,11,19,46
2020-04-03,"Hywel Dda University Health Board",77,285,463,825,3,6,37,46
2020-04-03,"Abertawe Bro Morgannwg University Health Board",129,501,404,1034,20,17,54,91
2020-04-03,"Cardiff and Vale University Health Board",160,511,680,1351,23,17,23,63
2020-04-03,"Cwm Taf University Health Board",124,446,385,955,20,6,31,57
2020-04-03,"Aneurin Bevan University Health Board",216,308,597,1121,28,2,15,45
2020-04-03,"Velindre University NHS Trust",12,1,17,30,0,0,0,0
2020-04-03,"Wales",801,2648,3115,6564,110,59,179,348
2020-04-04,"Betsi Cadwaladr University Health Board",89,600,556,1245,14,21,21,56
2020-04-04,"Hywel Dda University Health Board",62,103,648,813,2,6,35,43
2020-04-04,"Abertawe Bro Morgannwg University Health Board",123,565,257,945,20,15,56,91
2020-04-04,"Cardiff and Vale University Health Board",170,452,729,1351,29,11,23,63
2020-04-04,"Cwm Taf University Health Board",122,371,441,934,24,5,23,52
2020-04-04,"Aneurin Bevan University Health Board",219,294,655,1168,33,2,16,51
2020-04-04,"Velindre University NHS Trust",8,4,18,30,0,0,0,0
2020-04-04,"Wales",793,2389,3304,6486,122,60,174,356
2020-04-05,"Betsi Cadwaladr University Health Board",98,722,336,1156,22,8,27,57
2020-04-05,"Hywel Dda University Health Board",73,141,594,808,3,5,35,43
2020-04-05,"Abertawe Bro Morgannwg University Health Board",155,519,128,802,18,14,59,91
2020-04-05,"Cardiff and Vale University Health Board",162,439,750,1351,29,9,25,63
2020-04-05,"Cwm Taf University Health Board",134,424,378,936,23,4,25,52
2020-04-05,"Aneurin Bevan University Health Board",231,243,654,1128,36,4,11,51
2020-04-05,"Velindre University NHS Trust",6,9,15,30,0,0,0,0
2020-04-05,"Wales",859,2497,2855,6211,131,44,182,357
2020-04-06,"Betsi Cadwaladr University Health Board",98,715,346,1159,18,8,30,56
2020-04-06,"Hywel Dda University Health Board",85,218,525,828,4,4,34,42
2020-04-06,"Abertawe Bro Morgannwg University Health Board",155,398,193,746,20,18,53,91
2020-04-06,"Cardiff and Vale University Health Board",180,456,715,1351,32,13,26,71
2020-04-06,"Cwm Taf University Health Board",156,372,408,936,26,5,21,52
2020-04-06,"Aneurin Bevan University Health Board",226,281,615,1122,37,3,17,57
2020-04-06,"Velindre University NHS Trust",7,5,19,31,0,0,0,0
2020-04-06,"Wales",907,2445,2821,6173,137,51,181,369
2020-04-07,"Betsi Cadwaladr University Health Board",103,615,525,1243,19,10,30,59
2020-04-07,"Hywel Dda University Health Board",84,270,498,852,4,4,38,46
2020-04-07,"Abertawe Bro Morgannwg University Health Board",168,389,73,630,22,18,69,109
2020-04-07,"Cardiff and Vale University Health Board",180,458,705,1343,33,13,25,71
2020-04-07,"Cwm Taf University Health Board",160,373,403,936,29,3,28,60
2020-04-07,"Aneurin Bevan University Health Board",208,284,630,1122,37,5,15,57
2020-04-07,"Velindre University NHS Trust",7,6,17,30,0,0,0,0
2020-04-07,"Wales",910,2395,2851,6156,144,53,205,402
2020-04-08,"Betsi Cadwaladr University Health Board",115,551,580,1246,24,8,30,62
2020-04-08,"Hywel Dda University Health Board",87,272,478,837,4,5,37,46
2020-04-08,"Abertawe Bro Morgannwg University Health Board",184,325,254,763,22,18,69,109
2020-04-08,"Cardiff and Vale University Health Board",200,463,675,1338,33,13,30,76
2020-04-08,"Cwm Taf University Health Board",178,364,417,959,26,3,31,60
2020-04-08,"Aneurin Bevan University Health Board",239,280,621,1140,41,5,11,57
2020-04-08,"Velindre University NHS Trust",7,7,16,30,0,0,0,0
2020-04-08,"Wales",1010,2262,3041,6313,150,52,208,410
2020-04-09,"Betsi Cadwaladr University Health Board",124,536,580,1240,20,12,30,62
2020-04-09,"Hywel Dda University Health Board",90,266,480,836,4,4,38,46
2020-04-09,"Abertawe Bro Morgannwg University Health Board",194,351,222,767,29,14,71,114
2020-04-09,"Cardiff and Vale University Health Board",190,433,714,1337,37,11,27,75
2020-04-09,"Cwm Taf University Health Board",160,359,417,936,27,3,30,60
2020-04-09,"Aneurin Bevan University Health Board",243,264,646,1153,44,5,15,64
2020-04-09,"Velindre University NHS Trust",6,5,19,30,0,0,0,0
2020-04-09,"Wales",1007,2214,3078,6299,161,49,211,421
2020-04-10,"Betsi Cadwaladr University Health Board",135,513,588,1236,18,16,28,62
2020-04-10,"Hywel Dda University Health Board",105,274,443,822,6,3,37,46
2020-04-10,"Abertawe Bro Morgannwg University Health Board",233,362,133,728,26,17,20,63
2020-04-10,"Cardiff and Vale University Health Board",191,427,715,1333,36,11,32,79
2020-04-10,"Cwm Taf University Health Board",156,330,474,960,27,4,29,60
2020-04-10,"Aneurin Bevan University Health Board",246,245,662,1153,40,9,15,64
2020-04-10,"Velindre University NHS Trust",3,5,22,30,0,0,0,0
2020-04-10,"Wales",1069,2156,3037,6262,153,60,161,374
2020-04-11,"Betsi Cadwaladr University Health Board",139,530,567,1236,15,12,35,62
2020-04-11,"Hywel Dda University Health Board",104,285,433,822,5,5,36,46
2020-04-11,"Abertawe Bro Morgannwg University Health Board",180,290,291,761,27,0,36,63
2020-04-11,"Cardiff and Vale University Health Board",210,411,704,1325,32,16,39,87
2020-04-11,"Cwm Taf University Health Board",178,323,431,932,24,4,32,60
2020-04-11,"Aneurin Bevan University Health Board",244,231,678,1153,46,4,14,64
2020-04-11,"Velindre University NHS Trust",4,8,18,30,0,0,0,0
2020-04-11,"Wales",1059,2078,3122,6259,149,41,192,382
2020-04-12,"Betsi Cadwaladr University Health Board",156,541,539,1236,18,11,33,62
2020-04-12,"Hywel Dda University Health Board",101,263,458,822,4,5,37,46
2020-04-12,"Abertawe Bro Morgannwg University Health Board",200,147,440,787,28,16,19,63
2020-04-12,"Cardiff and Vale University Health Board",220,393,712,1325,34,15,38,87
2020-04-12,"Cwm Taf University Health Board",174,320,438,932,27,4,29,60
2020-04-12,"Aneurin Bevan University Health Board",249,240,632,1121,42,6,16,64
2020-04-12,"Velindre University NHS Trust",4,4,22,30,0,0,0,0
2020-04-12,"Wales",1104,1908,3241,6253,153,57,172,382
2020-04-13,"Betsi Cadwaladr University Health Board",143,542,551,1236,20,9,33,62
2020-04-13,"Hywel Dda University Health Board",96,255,471,822,4,8,34,46
2020-04-13,"Abertawe Bro Morgannwg University Health Board",200,307,175,682,27,14,21,62
2020-04-13,"Cardiff and Vale University Health Board",217,388,720,1325,36,14,37,87
2020-04-13,"Cwm Taf University Health Board",170,319,438,927,26,7,27,60
2020-04-13,"Aneurin Bevan University Health Board",203,287,659,1149,42,7,21,70
2020-04-13,"Velindre University NHS Trust",3,6,21,30,0,0,0,0
2020-04-13,"Wales",1032,2104,3035,6171,155,59,173,387
2020-04-14,"Betsi Cadwaladr University Health Board",164,530,527,1221,18,6,38,62
2020-04-14,"Hywel Dda University Health Board",95,231,516,842,4,7,35,46
2020-04-14,"Abertawe Bro Morgannwg University Health Board",199,344,171,714,30,13,20,63
2020-04-14,"Cardiff and Vale University Health Board",206,426,693,1325,34,16,37,87
2020-04-14,"Cwm Taf University Health Board",171,367,390,928,23,6,32,61
2020-04-14,"Aneurin Bevan University Health Board",201,303,647,1151,42,8,20,70
2020-04-14,"Velindre University NHS Trust",4,2,24,30,0,0,0,0
2020-04-14,"Wales",1040,2203,2968,6211,151,56,182,389
2020-04-15,"Betsi Cadwaladr University Health Board",165,545,521,1231,18,5,39,62
2020-04-15,"Hywel Dda University Health Board",96,279,455,830,4,7,35,46
2020-04-15,"Abertawe Bro Morgannwg University Health Board",207,318,183,708,29,11,23,63
2020-04-15,"Cardiff and Vale University Health Board",214,399,705,1318,34,14,46,94
2020-04-15,"Cwm Taf University Health Board",161,355,411,927,24,5,31,60
2020-04-15,"Aneurin Bevan University Health Board",211,289,647,1147,41,8,21,70
2020-04-15,"Velindre University NHS Trust",5,7,18,30,0,0,0,0
2020-04-15,"Wales",1059,2192,2940,6191,150,50,195,395
2020-04-16,"Betsi Cadwaladr University Health Board",169,490,583,1242,18,5,39,62
2020-04-16,"Hywel Dda University Health Board",103,258,499,860,4,6,36,46
2020-04-16,"Abertawe Bro Morgannwg University Health Board",220,147,342,709,31,0,32,63
2020-04-16,"Cardiff and Vale University Health Board",205,396,717,1318,36,15,43,94
2020-04-16,"Cwm Taf University Health Board",156,368,403,927,24,4,32,60
2020-04-16,"Aneurin Bevan University Health Board",212,292,643,1147,42,6,22,70
2020-04-16,"Velindre University NHS Trust",7,10,13,30,0,0,0,0
2020-04-16,"Wales",1072,1961,3200,6233,155,36,204,395
2020-04-17,"Betsi Cadwaladr University Health Board",193,487,557,1237,22,5,35,62
2020-04-17,"Hywel Dda University Health Board",105,281,445,831,4,9,33,46
2020-04-17,"Abertawe Bro Morgannwg University Health Board",198,330,182,710,34,15,14,63
2020-04-17,"Cardiff and Vale University Health Board",203,420,695,1318,34,17,43,94
2020-04-17,"Cwm Taf University Health Board",163,362,402,927,23,5,32,60
2020-04-17,"Aneurin Bevan University Health Board",202,310,633,1145,42,6,22,70
2020-04-17,"Velindre University NHS Trust",4,13,13,30,0,0,0,0
2020-04-17,"Wales",1068,2203,2927,6198,159,57,179,395
2020-04-18,"Betsi Cadwaladr University Health Board",221,517,497,1235,25,9,28,62
2020-04-18,"Hywel Dda University Health Board",103,290,460,853,5,5,36,46
2020-04-18,"Abertawe Bro Morgannwg University Health Board",192,336,188,716,40,2,21,63
2020-04-18,"Cardiff and Vale University Health Board",210,408,700,1318,30,21,43,94
2020-04-18,"Cwm Taf University Health Board",154,331,420,905,23,5,32,60
2020-04-18,"Aneurin Bevan University Health Board",202,292,651,1145,41,4,25,70
2020-04-18,"Velindre University NHS Trust",3,10,17,30,0,0,0,0
2020-04-18,"Wales",1085,2184,2933,6202,164,46,185,395
2020-04-19,"Betsi Cadwaladr University Health Board",208,535,492,1235,24,8,30,62
2020-04-19,"Hywel Dda University Health Board",98,296,459,853,4,5,37,46
2020-04-19,"Abertawe Bro Morgannwg University Health Board",191,334,204,729,29,16,18,63
2020-04-19,"Cardiff and Vale University Health Board",193,430,695,1318,34,17,43,94
2020-04-19,"Cwm Taf University Health Board",146,338,421,905,24,4,32,60
2020-04-19,"Aneurin Bevan University Health Board",203,313,629,1145,38,6,26,70
2020-04-19,"Velindre University NHS Trust",2,7,21,30,0,0,0,0
2020-04-19,"Wales",1041,2253,2921,6215,153,56,186,395
2020-04-20,"Betsi Cadwaladr University Health Board",201,575,460,1236,20,4,38,62
2020-04-20,"Hywel Dda University Health Board",109,285,443,837,3,8,35,46
2020-04-20,"Abertawe Bro Morgannwg University Health Board",196,349,220,765,33,12,18,63
2020-04-20,"Cardiff and Vale University Health Board",186,470,984,1640,33,19,42,94
2020-04-20,"Cwm Taf University Health Board",138,390,377,905,23,5,32,60
2020-04-20,"Aneurin Bevan University Health Board",200,347,624,1171,38,6,26,70
2020-04-20,"Velindre University NHS Trust",2,9,19,30,0,0,0,0
2020-04-20,"Wales",1032,2425,3127,6584,150,54,191,395
2020-04-21,"Betsi Cadwaladr University Health Board",178,549,477,1204,19,6,41,66
2020-04-21,"Hywel Dda University Health Board",96,277,459,832,2,3,39,44
2020-04-21,"Abertawe Bro Morgannwg University Health Board",195,310,279,784,25,20,24,69
2020-04-21,"Cardiff and Vale University Health Board",215,459,966,1640,32,17,45,94
2020-04-21,"Cwm Taf University Health Board",123,408,374,905,19,7,34,60
2020-04-21,"Aneurin Bevan University Health Board",179,382,610,1171,38,6,26,70
2020-04-21,"Velindre University NHS Trust",3,9,18,30,0,0,0,0
2020-04-21,"Wales",989,2394,3183,6566,135,59,209,403
2020-04-22,"Betsi Cadwaladr University Health Board",194,533,477,1204,16,6,44,66
2020-04-22,"Hywel Dda University Health Board",104,273,467,844,3,3,28,34
2020-04-22,"Abertawe Bro Morgannwg University Health Board",191,331,270,792,23,15,31,69
2020-04-22,"Cardiff and Vale University Health Board",193,478,969,1640,32,17,45,94
2020-04-22,"Cwm Taf University Health Board",115,387,403,905,21,6,33,60
2020-04-22,"Aneurin Bevan University Health Board",178,378,606,1162,37,7,26,70
2020-04-22,"Velindre University NHS Trust",1,12,17,30,0,0,0,0
2020-04-22,"Wales",976,2392,3209,6577,132,54,207,393
2020-04-23,"Betsi Cadwaladr University Health Board",273,811,657,1741,19,6,41,66
2020-04-23,"Hywel Dda University Health Board",93,349,540,982,3,4,27,34
2020-04-23,"Abertawe Bro Morgannwg University Health Board",176,296,349,821,20,15,34,69
2020-04-23,"Cardiff and Vale University Health Board",233,527,1046,1806,30,21,43,94
2020-04-23,"Cwm Taf University Health Board",179,523,431,1133,18,4,38,60
2020-04-23,"Aneurin Bevan University Health Board",241,443,776,1460,33,6,31,70
2020-04-23,"Powys Teaching Health Board",12,49,85,146,0,0,0,0
2020-04-23,"Velindre University NHS Trust",2,11,17,30,0,0,0,0
2020-04-23,"Wales",1209,3009,3901,8119,123,56,214,393
2020-04-24,"Betsi Cadwaladr University Health Board",257,852,635,1744,18,8,40,66
2020-04-24,"Hywel Dda University Health Board",99,332,559,990,2,5,18,25
2020-04-24,"Abertawe Bro Morgannwg University Health Board",185,294,344,823,21,13,35,69
2020-04-24,"Cardiff and Vale University Health Board",229,533,1044,1806,28,17,49,94
2020-04-24,"Cwm Taf University Health Board",195,523,411,1129,22,4,34,60
2020-04-24,"Aneurin Bevan University Health Board",208,494,758,1460,28,9,33,70
2020-04-24,"Powys Teaching Health Board",18,45,83,146,0,0,0,0
2020-04-24,"Velindre University NHS Trust",2,13,15,30,0,0,0,0
2020-04-24,"Wales",1193,3086,3849,8128,119,56,209,384
2020-04-25,"Betsi Cadwaladr University Health Board",264,844,604,1712,22,11,33,66
2020-04-25,"Hywel Dda University Health Board",88,331,571,990,5,5,15,25
2020-04-25,"Abertawe Bro Morgannwg University Health Board",175,342,324,841,20,12,37,69
2020-04-25,"Cardiff and Vale University Health Board",250,697,1112,2059,28,18,48,94
2020-04-25,"Cwm Taf University Health Board",171,518,441,1130,21,4,36,61
2020-04-25,"Aneurin Bevan University Health Board",250,418,792,1460,30,9,31,70
2020-04-25,"Powys Teaching Health Board",21,44,81,146,0,0,0,0
2020-04-25,"Velindre University NHS Trust",2,9,19,30,0,0,0,0
2020-04-25,"Wales",1221,3203,3944,8368,126,59,200,385
2020-04-26,"Betsi Cadwaladr University Health Board",282,850,612,1744,17,13,36,66
2020-04-26,"Hywel Dda University Health Board",78,333,579,990,5,7,13,25
2020-04-26,"Abertawe Bro Morgannwg University Health Board",177,361,300,838,19,9,41,69
2020-04-26,"Cardiff and Vale University Health Board",248,685,1126,2059,23,17,54,94
2020-04-26,"Cwm Taf University Health Board",162,553,415,1130,21,3,36,60
2020-04-26,"Aneurin Bevan University Health Board",229,481,750,1460,26,11,33,70
2020-04-26,"Powys Teaching Health Board",22,43,81,146,0,0,0,0
2020-04-26,"Velindre University NHS Trust",3,8,19,30,0,0,0,0
2020-04-26,"Wales",1201,3314,3882,8397,111,60,213,384
2020-04-27,"Betsi Cadwaladr University Health Board",282,861,590,1733,19,8,39,66
2020-04-27,"Hywel Dda University Health Board",79,388,451,918,5,7,13,25
2020-04-27,"Abertawe Bro Morgannwg University Health Board",166,332,324,822,18,13,38,69
2020-04-27,"Cardiff and Vale University Health Board",266,687,1110,2063,19,16,55,90
2020-04-27,"Cwm Taf University Health Board",157,551,422,1130,19,9,32,60
2020-04-27,"Aneurin Bevan University Health Board",232,466,766,1464,25,12,46,83
2020-04-27,"Powys Teaching Health Board",11,58,74,143,0,0,0,0
2020-04-27,"Velindre University NHS Trust",4,5,21,30,0,0,0,0
2020-04-27,"Wales",1197,3348,3758,8303,105,65,223,393
2020-04-28,"Betsi Cadwaladr University Health Board",299,841,609,1749,16,5,45,66
2020-04-28,"Hywel Dda University Health Board",82,373,505,960,7,7,11,25
2020-04-28,"Abertawe Bro Morgannwg University Health Board",153,306,360,819,17,13,39,69
2020-04-28,"Cardiff and Vale University Health Board",251,711,836,1798,19,19,45,83
2020-04-28,"Cwm Taf University Health Board",153,561,416,1130,18,8,34,60
2020-04-28,"Aneurin Bevan University Health Board",213,490,761,1464,30,7,46,83
2020-04-28,"Powys Teaching Health Board",10,59,77,146,0,0,0,0
2020-04-28,"Velindre University NHS Trust",1,7,22,30,0,0,0,0
2020-04-28,"Wales",1162,3348,3586,8096,107,59,220,386
2020-04-29,"Betsi Cadwaladr University Health Board",283,854,613,1750,19,8,39,66
2020-04-29,"Hywel Dda University Health Board",88,370,470,928,5,9,11,25
2020-04-29,"Abertawe Bro Morgannwg University Health Board",147,363,313,823,18,13,38,69
2020-04-29,"Cardiff and Vale University Health Board",259,724,795,1778,17,19,47,83
2020-04-29,"Cwm Taf University Health Board",155,566,386,1107,20,4,35,59
2020-04-29,"Aneurin Bevan University Health Board",191,505,768,1464,22,9,52,83
2020-04-29,"Powys Teaching Health Board",9,62,75,146,0,0,0,0
2020-04-29,"Velindre University NHS Trust",3,8,19,30,0,0,0,0
2020-04-29,"Wales",1135,3452,3439,8026,101,62,222,385
2020-04-30,"Betsi Cadwaladr University Health Board",283,838,631,1752,23,12,26,61
2020-04-30,"Hywel Dda University Health Board",95,375,458,928,4,10,11,25
2020-04-30,"Abertawe Bro Morgannwg University Health Board",158,421,267,846,17,11,41,69
2020-04-30,"Cardiff and Vale University Health Board",250,736,1084,2070,19,19,50,88
2020-04-30,"Cwm Taf University Health Board",164,550,449,1163,17,4,38,59
2020-04-30,"Aneurin Bevan University Health Board",198,472,794,1464,19,9,55,83
2020-04-30,"Powys Teaching Health Board",11,59,76,146,0,0,0,0
2020-04-30,"Velindre University NHS Trust",4,8,18,30,0,0,0,0
2020-04-30,"Wales",1163,3459,3777,8399,99,65,221,385
2020-05-01,"Betsi Cadwaladr University Health Board",291,851,610,1752,22,10,29,61
2020-05-01,"Hywel Dda University Health Board",80,381,418,879,3,10,12,25
2020-05-01,"Abertawe Bro Morgannwg University Health Board",144,412,275,831,19,8,42,69
2020-05-01,"Cardiff and Vale University Health Board",126,843,1101,2070,15,21,52,88
2020-05-01,"Cwm Taf University Health Board",162,569,306,1037,14,5,40,59
2020-05-01,"Aneurin Bevan University Health Board",196,476,792,1464,19,8,56,83
2020-05-01,"Powys Teaching Health Board",10,61,75,146,0,0,0,0
2020-05-01,"Velindre University NHS Trust",3,9,18,30,0,0,0,0
2020-05-01,"Wales",1012,3602,3595,8209,92,62,231,385
2020-05-02,"Betsi Cadwaladr University Health Board",287,864,593,1744,19,12,30,61
2020-05-02,"Hywel Dda University Health Board",82,380,417,879,5,7,13,25
2020-05-02,"Abertawe Bro Morgannwg University Health Board",136,379,316,831,21,8,40,69
2020-05-02,"Cardiff and Vale University Health Board",135,791,1144,2070,16,22,50,88
2020-05-02,"Cwm Taf University Health Board",183,579,275,1037,14,6,39,59
2020-05-02,"Aneurin Bevan University Health Board",190,487,787,1464,18,9,56,83
2020-05-02,"Powys Teaching Health Board",13,61,72,146,0,0,0,0
2020-05-02,"Velindre University NHS Trust",5,7,18,30,0,0,0,0
2020-05-02,"Wales",1031,3548,3622,8201,93,64,228,385
2020-05-03,"Betsi Cadwaladr University Health Board",288,846,607,1741,21,8,37,66
2020-05-03,"Hywel Dda University Health Board",84,400,395,879,4,8,13,25
2020-05-03,"Abertawe Bro Morgannwg University Health Board",135,352,344,831,22,9,38,69
2020-05-03,"Cardiff and Vale University Health Board",99,816,1150,2065,15,26,47,88
2020-05-03,"Cwm Taf University Health Board",150,587,277,1014,14,6,39,59
2020-05-03,"Aneurin Bevan University Health Board",186,490,788,1464,18,9,56,83
2020-05-03,"Powys Teaching Health Board",13,68,65,146,0,0,0,0
2020-05-03,"Velindre University NHS Trust",3,10,17,30,0,0,0,0
2020-05-03,"Wales",958,3569,3643,8170,94,66,230,390
2020-05-04,"Betsi Cadwaladr University Health Board",281,954,512,1747,21,10,35,66
2020-05-04,"Hywel Dda University Health Board",84,469,372,925,3,6,16,25
2020-05-04,"Abertawe Bro Morgannwg University Health Board",133,417,310,860,19,13,37,69
2020-05-04,"Cardiff and Vale University Health Board",125,830,1110,2065,14,28,46,88
2020-05-04,"Cwm Taf University Health Board",152,609,254,1015,15,4,40,59
2020-05-04,"Aneurin Bevan University Health Board",184,561,719,1464,20,9,54,83
2020-05-04,"Powys Teaching Health Board",10,70,66,146,0,0,0,0
2020-05-04,"Velindre University NHS Trust",6,8,16,30,0,0,0,0
2020-05-04,"Wales",975,3918,3359,8252,92,70,228,390
2020-05-05,"Betsi Cadwaladr University Health Board",283,927,542,1752,20,6,40,66
2020-05-05,"Hywel Dda University Health Board",85,459,381,925,3,8,14,25
2020-05-05,"Abertawe Bro Morgannwg University Health Board",123,447,289,859,16,18,35,69
2020-05-05,"Cardiff and Vale University Health Board",126,855,1084,2065,15,23,50,88
2020-05-05,"Cwm Taf University Health Board",174,603,231,1008,13,4,42,59
2020-05-05,"Aneurin Bevan University Health Board",169,545,750,1464,20,8,55,83
2020-05-05,"Powys Teaching Health Board",10,68,68,146,0,0,0,0
